Nome,Descrição,Linguagem,Estrelas,Forks,PRs Fechados,Criado em,Atualizado em
freeCodeCamp/freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc...",TypeScript,429721,41902,41005,2014-12-24T17:49:19Z,2025-10-06T01:55:48Z
codecrafters-io/build-your-own-x,Master programming by recreating your favorite technologies from scratch.,Markdown,424496,39816,292,2018-05-09T12:03:18Z,2025-10-06T02:21:15Z
sindresorhus/awesome,😎 Awesome lists about all kinds of interesting topics,,404865,31787,2135,2014-07-11T13:42:37Z,2025-10-06T02:22:31Z
EbookFoundation/free-programming-books,:books: Freely available programming books,Python,371567,64590,10425,2013-10-11T06:50:37Z,2025-10-06T02:14:14Z
public-apis/public-apis,A collective list of free APIs,Python,367544,38683,2981,2016-03-20T23:49:42Z,2025-10-06T02:07:19Z
kamranahmedse/developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",TypeScript,339636,43052,5431,2017-03-15T13:45:52Z,2025-10-06T02:11:00Z
jwasham/coding-interview-university,A complete computer science study plan to become a software engineer.,,330654,80835,992,2016-06-06T02:34:12Z,2025-10-06T02:11:46Z
donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc...,Python,322051,52573,334,2017-02-26T16:15:28Z,2025-10-06T01:52:23Z
996icu/996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,,274470,21043,1910,2019-03-26T07:31:14Z,2025-10-06T01:07:12Z
vinta/awesome-python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",Python,262877,26391,1574,2014-06-27T21:00:06Z,2025-10-06T02:22:37Z
Chalarangelo/30-seconds-of-code,Coding articles to level up your development skills,JavaScript,125435,12337,1631,2017-11-29T17:35:03Z,2025-10-05T20:16:44Z
microsoft/PowerToys,Microsoft PowerToys is a collection of utilities that help you customize Windows and streamline ever...,C#,124073,7393,6566,2019-05-01T17:44:02Z,2025-10-06T01:57:49Z
facebook/react-native,A framework for building native applications using React,C++,124025,24856,24325,2015-01-09T18:10:16Z,2025-10-06T02:16:54Z
electron/electron,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS",C++,118553,16495,26249,2013-04-12T01:47:36Z,2025-10-06T01:18:25Z
kubernetes/kubernetes,Production-Grade Container Scheduling and Management,Go,117832,41474,85174,2014-06-06T22:56:04Z,2025-10-06T01:57:40Z
krahets/hello-algo,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, D...",Java,117474,14463,1196,2022-11-04T11:08:34Z,2025-10-06T01:59:56Z
langchain-ai/langchain,🦜🔗 Build context-aware reasoning applications,Jupyter Notebook,116674,19208,15265,2022-10-17T02:58:36Z,2025-10-06T01:47:15Z
langgenius/dify,Production-ready platform for agentic workflow development.,TypeScript,115763,17854,9077,2023-04-12T07:40:24Z,2025-10-06T01:47:54Z
justjavac/free-programming-books-zh_CN,:books: 免费的计算机编程类中文书籍，欢迎投稿,,115360,28358,432,2013-11-04T01:59:19Z,2025-10-06T01:47:57Z
nodejs/node,Node.js JavaScript runtime ✨🐢🚀✨,JavaScript,113579,33354,37410,2014-11-26T19:57:11Z,2025-10-06T01:22:23Z
